id,detail,address,price,url,Longitude,Latitude,"id	detail	address	price	url	Longitude	Latitude"
45,【整租】科技园区 科技园区青年社区 1室1厅,科技园区青年社区,2200,http://bj.58.com/pinpaigongyu/32347954353339x.shtml?psid=196062875198568302916735332,116.316887,40.039625,"45	【整租】科技园区 科技园区青年社区 1室1厅	科技园区青年社区	2200	http://bj.58.com/pinpaigongyu/32347954353339x.shtml?psid=196062875198568302916735332	116.316887	40.039625"
46,【整租】沙河 巩华家园南一村 2室1厅,巩华家园南一村,4000,http://bj.58.com/pinpaigongyu/32632916393161x.shtml?psid=196062875198568302916735332,116.272576,40.132269,"46	【整租】沙河 巩华家园南一村 2室1厅	巩华家园南一村	4000	http://bj.58.com/pinpaigongyu/32632916393161x.shtml?psid=196062875198568302916735332	116.272576	40.132269"
47,【整租】百子湾 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2500,http://bj.58.com/pinpaigongyu/32557328366156x.shtml?psid=196062875198568302916735332,116.426311,39.905583,"47	【整租】百子湾 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2500	http://bj.58.com/pinpaigongyu/32557328366156x.shtml?psid=196062875198568302916735332	116.426311	39.905583"
48,【合租】三元桥 香河园中里 2室主卧,香河园中里,3580,http://bj.58.com/pinpaigongyu/32603099002313x.shtml?psid=196062875198568302916735332,116.449152,39.955595,"48	【合租】三元桥 香河园中里 2室主卧	香河园中里	3580	http://bj.58.com/pinpaigongyu/32603099002313x.shtml?psid=196062875198568302916735332	116.449152	39.955595"
49,【合租】亦庄 鹿海园五里 2室次卧,鹿海园五里,2400,http://bj.58.com/pinpaigongyu/32022092503485x.shtml?psid=196062875198568302916735332,116.49723,39.75704,"49	【合租】亦庄 鹿海园五里 2室次卧	鹿海园五里	2400	http://bj.58.com/pinpaigongyu/32022092503485x.shtml?psid=196062875198568302916735332	116.49723	39.75704"
51,【合租】物资学院路 新建村 3室次卧,新建村,2360,http://bj.58.com/pinpaigongyu/32590411028913x.shtml?psid=196062875198568302916735332,116.648251,39.928496,"51	【合租】物资学院路 新建村 3室次卧	新建村	2360	http://bj.58.com/pinpaigongyu/32590411028913x.shtml?psid=196062875198568302916735332	116.648251	39.928496"
52,【合租】成寿寺 中海城圣朝菲 3室次卧,中海城圣朝菲,3108,http://bj.58.com/pinpaigongyu/32477724512708x.shtml?psid=196062875198568302916735332,116.452438,39.83929,"52	【合租】成寿寺 中海城圣朝菲 3室次卧	中海城圣朝菲	3108	http://bj.58.com/pinpaigongyu/32477724512708x.shtml?psid=196062875198568302916735332	116.452438	39.83929"
53,【合租】崇文门 新景家园东区 2室主卧,新景家园东区,3200,http://bj.58.com/pinpaigongyu/32593427139507x.shtml?psid=196062875198568302916735332,116.425303,39.896159,"53	【合租】崇文门 新景家园东区 2室主卧	新景家园东区	3200	http://bj.58.com/pinpaigongyu/32593427139507x.shtml?psid=196062875198568302916735332	116.425303	39.896159"
55,【整租】朝阳公园 六里屯东里 1室1厅,六里屯东里,3300,http://bj.58.com/pinpaigongyu/31144347806776x.shtml?psid=196062875198568302916735332,116.483653,39.930268,"55	【整租】朝阳公园 六里屯东里 1室1厅	六里屯东里	3300	http://bj.58.com/pinpaigongyu/31144347806776x.shtml?psid=196062875198568302916735332	116.483653	39.930268"
56,【合租】芍药居 芍药居北里小区 2室次卧,芍药居北里小区,2200,http://bj.58.com/pinpaigongyu/32544210798278x.shtml?psid=196062875198568302916735332,116.431269,39.986689,"56	【合租】芍药居 芍药居北里小区 2室次卧	芍药居北里小区	2200	http://bj.58.com/pinpaigongyu/32544210798278x.shtml?psid=196062875198568302916735332	116.431269	39.986689"
